s_no,ISBN,title,Author,YrPub,Publisher,Img-url-s,Img-url-m,Img-url-l,ratings,price,quantity
101,9,Te,Ni,1952,S,NULL,NULL,NULL,8,456,46
102,88,NULL,"c.s. lewis",NULL,NULL,NULL,NULL,NULL,6,234,34
103,2005018,"Clara Callan","Richard Bruce Wright",2001,"HarperFlamingo Canada",http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,9,987,387
104,60168013,"Pigs in Heaven","Barbara Kingsolver",1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,10,454,154
105,60914068,"Love, Medicine and Miracles","M.D. Bernie S. Siegel",1988,"HarperCollins Publishers",http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,7,987,87
106,60938412,"The Accidental Virgin","Valerie Frankel",2003,"Avon Trade",http://images.amazon.com/images/P/0060938412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,6,345,315
107,60973129,"Decision in Normandy","Carlo D'Este",1991,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,9,287,87
108,61076031,"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp; Ashley Olsen",2000,HarperEntertainment,http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg,9,575,55
109,61099686,Downtown,"Anne Rivers Siddons",1995,HarperTorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,9,876,476
110,140067477,"The Tao of Pooh","Benjamin Hoff",1983,"Penguin Books",http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,2,123,103
111,156047624,"All the King's Men","Robert Penn Warren",1982,"Harvest Books",http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,3,655,255
112,195153448,"Classical Mythology","Mark P. O. Morford",2002,"Oxford University Press",http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,9,654,154
113,245542957,"Pacific Northwest","Hans Johannes Hoefer",1985,"Chambers Harrap Publishers Ltd",http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg,6,876,76
114,312970242,"The Angel Is Near","Deepak Chopra",2000,"St. Martin's Press",http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg,2,754,714
115,345260317,"The Dragons of Eden: Speculations on the Evolution of Human Intelligence","Carl Sagan",1978,"Ballantine Books",http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,4,876,816
116,345402871,Airframe,"Michael Crichton",1997,"Ballantine Books",http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,2,789,79
117,345417623,Timeline,"MICHAEL CRICHTON",2000,"Ballantine Books",http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,9,955,55
118,345465083,Seabiscuit,"LAURA HILLENBRAND",2003,"Ballantine Books",http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,3,783,83
119,374157065,"Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata",1999,"Farrar Straus Giroux",http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,4,290,90
120,375406328,"Lying Awake","Mark Salzman",2000,"Alfred A. Knopf",http://images.amazon.com/images/P/0375406328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,6,345,45
121,375759778,"Prague : A Novel","ARTHUR PHILLIPS",2003,"Random House Trade Paperbacks",http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,5,712,72
122,380715899,"A Soldier of the Great War","Mark Helprin",1992,"Avon Books",http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,6,908,98
123,393045218,"The Mummies of Urumchi","E. J. W. Barber",1999,"W. W. Norton &amp; Company",http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,3,1209,109
124,394743741,"The yawning heights","Aleksandr Zinoviev",1980,"Random House",http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg,10,100,100
125,399135782,"The Kitchen God's Wife","Amy Tan",1991,"Putnam Pub Group",http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,3,78,70
126,425163091,"Chocolate Jesus","Stephan Jaramillo",1998,"Berkley Publishing Group",http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,5,235,235
127,425176428,"What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley",2000,"Berkley Publishing Group",http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,3,234,304
128,425182908,"Isle of Dogs","Patricia Cornwell",2002,"Berkley Publishing Group",http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,10,987,187
129,439095026,"Tell Me This Isn't Happening","Robynn Clairday",1999,Scholastic,http://images.amazon.com/images/P/0439095026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,8,567,667
130,440223571,"This Year It Will Be Different: And Other Stories","Maeve Binchy",1997,Dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,4,876,76
131,440225701,"The Street Lawyer","JOHN GRISHAM",1999,Dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,5,678,68
132,440234743,"The Testament","John Grisham",1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,2,878,78
133,446310786,"To Kill a Mockingbird","Harper Lee",1988,"Little Brown &amp; Company",http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,3,230,30
134,449005615,"Seabiscuit: An American Legend","LAURA HILLENBRAND",2002,"Ballantine Books",http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,9,982,892
135,451625889,"The Prince","Niccolo Machiavelli",1952,"Signet Book",http://images.amazon.com/images/P/0451625889.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg,9,876,836
136,452264464,"Beloved (Plume Contemporary Fiction)","Toni Morrison",1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,3,465,605
137,553280333,"Getting Well Again","O. Carol Simonton Md",1992,Bantam,http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg,10,657,67
138,553582747,"From the Corner of His Eye","Dean Koontz",2001,"Bantam Books",http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,2,873,83
139,553582909,Icebound,"Dean R. Koontz",2000,"Bantam Books",http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,8,471,71
140,609804618,"Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source","The Onion",1999,"Three Rivers Press",http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,9,648,64
141,671623249,"LONESOME DOVE","Larry McMurtry",1986,Pocket,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,2,139,13
142,671870432,"PLEADING GUILTY","Scott Turow",1993,Audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,5,821,10
143,671888587,"I'll Be Seeing You","Mary Higgins Clark",1994,Pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,10,546,56
144,679425608,"Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly",1996,"Random House",http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,3,234,934
145,679810307,"Shabanu: Daughter of the Wind (Border Trilogy)","SUZANNE FISHER STAPLES",1991,"Laurel Leaf",http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,4,574,714
146,679865691,"Haveli (Laurel Leaf Books)","SUZANNE FISHER STAPLES",1995,"Laurel Leaf",http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,7,852,82
147,684823802,"OUT OF THE SILENT PLANET","C.S. Lewis",1996,Scribner,http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,2,156,56
148,689821166,"Flood : Mississippi 1927","Kathleen Duey",1998,Aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg,2,251,91
149,771074670,"Nights Below Station Street","David Adams Richards",1988,"Emblem Editions",http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,9,453,53
150,804106304,"The Joy Luck Club","Amy Tan",1994,"Prentice Hall (K-12)",http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,3,234,34
151,812523873,Proxies,"Laura J. Mixon",1999,"Tor Books",http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,8,432,403
152,842342702,"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Tim Lahaye",2000,"Tyndale House Publishers",http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,2,653,530
153,887841740,"The Middle Stories","Sheila Heti",2004,"House of Anansi Press",http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,1,63,93
154,961769947,"Northwest Wines and Wineries","Chuck Hill",1993,"Speed Graphics",http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,7,522,592
155,964778319,"An Atmosphere of Eternity: Stories of India","David Iglehart",2002,"Sunflower Press",http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,6,882,802
156,971880107,"Wild Animus","Rich Shapero",2004,"Too Far",http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,7,234,304
157,1414035004,"The Adventures of Drew and Ellie: The Magical Dress","Charles Noland",2003,"1stBooks Library",http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,6,621,210
158,1552041778,"Jane Doe","R. J. Kaiser",1999,"Mira Books",http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,8,525,505
159,1558746218,"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield",1998,"Health Communications",http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,9,625,65
160,1567407781,"The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman",1998,"Brilliance Audio - Trade",http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,4,827,82
161,1575663937,"More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson",1999,"Kensington Publishing Corp.",http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,8,920,67
162,1841721522,"New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown",2001,"Ryland Peters &amp; Small Ltd",http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,3,300,123
163,1853260053,"Tess of the D'Urbervilles (Wordsworth Classics)","Thomas Hardy",1997,"NTC/Contemporary Publishing Company",http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,10,220,20
164,1853262404,"Heart of Darkness (Wordsworth Collection)","Joseph Conrad",1998,"NTC/Contemporary Publishing Company",http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,10,405,45
165,1879384493,"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish",2003,"Cypress House",http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,5,604,64
166,1881320189,"Goodbye to the Buttermilk Sky","Julia Oliver",1994,"River City Pub",http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,5,909,99
167,2070423204,"Lieux dits","Michel Tournier",2002,Gallimard,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,7,707,1707
